127.0.0.1 - - [28/Apr/2021:12:56:15 +0900] "GET / HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET / HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/include/dist/css/sticky-footer-navbar.css HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/include/dist/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/include/dist/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/include/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/include/dist/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/include/dist/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:20 +0900] "GET /resources/images/common/icon.png HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:54 +0900] "GET /member/login.do HTTP/1.1" 200 6332
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:54 +0900] "GET /resources/include/js/login.js HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:54 +0900] "GET /resources/include/js/common.js HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:55 +0900] "GET /member/join.do HTTP/1.1" 200 9050
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:56:55 +0900] "GET /resources/include/js/join.js HTTP/1.1" 200 3910
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:57:05 +0900] "POST /member/userIdConfirm.do HTTP/1.1" 500 24541
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:57:08 +0900] "POST /member/userIdConfirm.do HTTP/1.1" 500 24541
0:0:0:0:0:0:0:1 - - [28/Apr/2021:12:57:15 +0900] "POST /member/userIdConfirm.do HTTP/1.1" 500 24541
